Year,Player,Team,Games,PA,SB,ISO,Babip,CS,Spd,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone
2017.0,Tommy Pham,Cardinals,128.0,530.0,25.0,0.214,0.368,7.0,6.0,1.98,22.2,51.7,26.1,7.0,26.7,9.4,33.3,36.7,34.9,28.3,15.4,49.1,35.5,19.0,59.9,37.9,62.0,86.5,79.9,46.2
2018.0,Tommy Pham,2 Teams,137.0,570.0,15.0,0.188,0.342,7.0,6.6,1.71,23.9,48.0,28.1,5.0,21.0,8.2,0.0,37.8,39.8,22.4,12.6,38.9,48.5,23.0,61.2,39.7,54.8,87.4,76.8,43.8
2019.0,Tommy Pham,Rays,145.0,654.0,25.0,0.176,0.316,4.0,5.0,2.15,21.8,53.4,24.8,9.1,19.1,10.5,0.0,38.7,36.2,25.2,15.3,41.1,43.6,20.0,63.1,38.4,62.6,88.6,80.9,42.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017.0,Matt Chapman,Athletics,84.0,326.0,0.0,0.238,0.29,3.0,3.5,0.66,16.0,33.5,50.5,16.8,13.9,4.5,0.0,34.5,38.5,27.0,20.0,44.0,36.0,26.6,61.9,42.7,56.2,81.8,73.2,45.7
2018.0,Matt Chapman,Athletics,145.0,616.0,1.0,0.23,0.338,2.0,4.5,1.03,20.4,40.3,39.3,13.9,15.2,5.6,0.0,40.4,35.0,24.6,16.1,40.7,43.2,24.5,64.0,41.4,63.8,86.4,78.7,42.8
2019.0,Matt Chapman,Athletics,156.0,670.0,1.0,0.257,0.27,1.0,3.3,0.96,15.5,41.5,43.1,17.5,19.0,10.4,0.0,42.4,34.6,23.0,15.9,38.7,45.3,24.8,65.0,42.0,67.5,83.5,78.1,42.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.0,Trevor Story,Rockies,97.0,415.0,8.0,0.296,0.343,5.0,5.9,0.62,23.6,29.3,47.1,8.8,23.7,8.5,33.3,40.0,33.1,26.9,14.3,40.8,44.9,27.9,66.8,46.2,56.2,80.7,72.9,47.1
2017.0,Trevor Story,Rockies,145.0,555.0,7.0,0.219,0.332,2.0,4.7,0.7,18.4,33.7,47.9,10.1,16.2,13.5,50.0,38.3,37.4,24.3,14.4,45.4,40.3,30.9,69.0,48.0,53.0,79.9,70.4,44.9
2018.0,Trevor Story,Rockies,157.0,656.0,27.0,0.276,0.345,6.0,6.3,0.8,22.7,34.3,43.1,10.2,19.9,14.2,0.0,43.3,34.3,22.4,15.9,39.6,44.5,32.2,74.6,50.3,60.3,87.2,77.4,42.7
2019.0,Trevor Story,Rockies,145.0,656.0,23.0,0.26,0.361,8.0,6.6,0.79,24.3,33.4,42.3,7.4,19.9,7.2,100.0,39.6,32.1,28.3,12.2,43.6,44.1,31.5,72.0,48.0,60.1,84.8,75.2,40.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
